GB_GCA_000010565.1	Pelotomaculum thermopropionicum SI
RS_GCF_001577265.1	Variovorax sp. PAMC 28711
RS_GCF_001577305.1	Sinomonas atrocyanea
RS_GCF_001577365.1	Frondihabitans sp. PAMC 28766
RS_GCF_001577385.1	Streptomyces albus
RS_GCF_001577465.1	Burkholderia sp. PAMC 28687
RS_GCF_001577525.1	Candidatus Desulfofervidus auxilii
RS_GCF_001577755.1	Rufibacter sp. DG15C
RS_GCF_001578075.1	Microcystis aeruginosa NIES-88
RS_GCF_001578105.1	Martelella sp. AD-3
RS_GCF_001578165.1	Bacillus pumilus
RS_GCF_001578185.1	Bacillus simplex
RS_GCF_001578205.1	Bacillus pumilus
RS_GCF_001578515.1	Alteromonas macleodii
RS_GCF_001578585.1	Sutterella sp. KLE1602
RS_GCF_001578645.1	Akkermansia sp. KLE1797
RS_GCF_001578675.1	Gordonia sp. QH-12
RS_GCF_001578705.1	Streptococcus oralis
RS_GCF_001578725.1	Streptococcus sp. DD04
RS_GCF_001578775.1	Streptococcus cristatus
RS_GCF_001578795.1	Streptococcus gordonii
RS_GCF_001578805.1	Streptococcus sp. DD10
RS_GCF_001578855.1	Streptococcus oralis
RS_GCF_001578875.1	Streptococcus sp. DD13
RS_GCF_001578885.1	Streptococcus sp. DD12
RS_GCF_001578935.1	Streptococcus oralis
RS_GCF_001578945.1	Streptococcus oralis
RS_GCF_001578955.1	Streptococcus parasanguinis
RS_GCF_001579015.1	Streptococcus oralis
RS_GCF_001579025.1	Streptococcus oralis
RS_GCF_001579035.1	Streptococcus mitis
RS_GCF_001579045.1	Streptococcus mitis
RS_GCF_001579095.1	Streptococcus oralis
RS_GCF_001579175.1	Streptococcus oralis
RS_GCF_001579525.1	Streptococcus oralis
RS_GCF_001579625.1	Streptococcus oralis
RS_GCF_001579645.1	Streptococcus infantis
RS_GCF_001579665.1	Streptococcus mitis
RS_GCF_001579805.1	Pseudomonas azotoformans
RS_GCF_001579845.1	Rhodoplanes sp. Z2-YC6860
RS_GCF_001579905.1	Labrenzia sp. CP4
RS_GCF_001579945.1	Steroidobacter denitrificans
RS_GCF_001580015.1	Cephaloticoccus primus
RS_GCF_001580025.1	Ventosimonas gracilis
RS_GCF_001580045.1	Cephaloticoccus capnophilus
RS_GCF_001580115.1	Candidatus Stoquefichus sp. KLE1796
RS_GCF_001580195.1	Akkermansia sp. KLE1798
RS_GCF_001580365.1	Kocuria turfanensis
RS_GCF_001580455.1	Ramlibacter tataouinensis
RS_GCF_001580535.1	Acetobacter cerevisiae
RS_GCF_001580545.1	Burkholderia monticola
RS_GCF_001580565.1	Burkholderia megalochromosomata
RS_GCF_001580615.1	Acetobacter malorum
RS_GCF_001580635.1	Gluconobacter oxydans
RS_GCF_001580675.1	Gluconobacter oxydans
RS_GCF_001580695.1	Acetobacter malorum
RS_GCF_001580705.1	Gluconobacter oxydans
RS_GCF_001580715.1	Gluconobacter japonicus
RS_GCF_001580765.1	Gluconobacter japonicus
RS_GCF_001580785.1	Gluconobacter japonicus
RS_GCF_001580835.1	Gluconobacter thailandicus
RS_GCF_001580845.1	Gluconobacter albidus
RS_GCF_001580865.1	Gluconobacter japonicus
RS_GCF_001580885.1	Gluconobacter roseus
RS_GCF_001580915.1	Acetobacter tropicalis
RS_GCF_001580925.1	Gluconobacter albidus
RS_GCF_001580945.1	Acetobacter tropicalis
RS_GCF_001580995.1	Acetobacter senegalensis
RS_GCF_001581005.1	Acetobacter orleanensis
RS_GCF_001581045.1	Gluconobacter oxydans
RS_GCF_001581075.1	Acetobacter cerevisiae
RS_GCF_001581085.1	Acetobacter malorum
RS_GCF_001581245.1	Streptococcus pneumoniae
RS_GCF_001581275.1	Streptococcus pneumoniae
RS_GCF_001581615.1	Streptococcus pneumoniae
RS_GCF_001581915.1	Ferrovum sp. Z-31
RS_GCF_001581925.1	Ferrovum sp. PN-J185
RS_GCF_001582015.1	Mycobacterium phlei DSM 43239 / CCUG 21000
RS_GCF_001582075.1	Enterobacter sp. FY-07
RS_GCF_001582645.1	Legionella pneumophila
RS_GCF_001582795.1	Legionella pneumophila
RS_GCF_001583415.1	Mycobacterium phlei
RS_GCF_001583435.1	Endozoicomonas montiporae CL-33
RS_GCF_001583495.1	Flammeovirga sp. SJP92
RS_GCF_001583505.1	Marichromatium gracile
RS_GCF_001583655.1	Legionella pneumophila
RS_GCF_001583695.1	Bacillus wiedmannii
RS_GCF_001583805.1	Bacillus cereus
RS_GCF_001584035.1	Bacillus wiedmannii
RS_GCF_001584065.1	Bacillus cereus
RS_GCF_001584105.1	Bacillus cereus
RS_GCF_001584145.1	Collimonas fungivorans
RS_GCF_001584165.1	Collimonas arenae
RS_GCF_001584185.1	Collimonas pratensis
RS_GCF_001584205.1	Collimonas arenae
RS_GCF_001584225.1	Collimonas pratensis
RS_GCF_001584325.1	Bacillus nakamurai
RS_GCF_001584345.1	Bacillus nakamurai
RS_GCF_001584355.1	Brevibacterium ravenspurgense
RS_GCF_001584405.1	Brevibacterium ravenspurgense 5401308 / CCUG 53855
RS_GCF_001584565.1	[Clostridium] paradoxum JW-YL-7 / DSM 7308
RS_GCF_001584605.1	Microbacterium laevaniformans
RS_GCF_001584615.1	Brevibacterium ravenspurgense
RS_GCF_001584765.1	Mycobacterium simiae
RS_GCF_001586155.1	Pseudomonas citronellolis
RS_GCF_001586165.1	Obesumbacterium proteus
RS_GCF_001586195.1	Solibacillus silvestris
RS_GCF_001586215.1	Corynebacterium simulans
RS_GCF_001586235.1	Corynebacterium simulans
RS_GCF_001586255.1	Zhongshania aliphaticivorans
RS_GCF_001586275.1	Sphingorhabdus sp. M41
RS_GCF_001586755.1	Cylindrospermopsis raciborskii ITEP-A1
RS_GCF_001586775.1	Sphingobacterium sp. CFCC 11742
RS_GCF_001587135.1	Ralstonia solanacearum
RS_GCF_001587155.1	Ralstonia solanacearum
RS_GCF_001587175.1	Streptococcus sp. A12
RS_GCF_001587375.1	Bacillus sporothermodurans
RS_GCF_001587405.1	Bacillus vallismortis
RS_GCF_001587455.1	Geobacillus toebii
RS_GCF_001587475.1	Geobacillus sp. B4113_201601
RS_GCF_001587535.1	Caldibacillus debilis
RS_GCF_001588605.1	Streptococcus mitis
RS_GCF_001588615.1	Streptococcus gordonii
RS_GCF_001588645.1	Streptococcus oralis
RS_GCF_001588695.1	Streptococcus oralis subsp. tigurinus
RS_GCF_001588715.1	Streptococcus sanguinis
RS_GCF_001588725.1	Streptococcus parasanguinis
RS_GCF_001588775.1	Streptococcus gordonii
RS_GCF_001588795.1	Streptococcus gordonii
RS_GCF_001588805.1	Streptococcus parasanguinis
RS_GCF_001588825.1	Streptococcus oralis subsp. tigurinus
RS_GCF_001588875.1	Streptococcus sanguinis
RS_GCF_001588895.1	Streptococcus sanguinis
RS_GCF_001588905.1	Streptococcus cristatus
RS_GCF_001588935.1	Streptococcus gordonii
RS_GCF_001588955.1	Streptococcus gordonii
RS_GCF_001588985.1	Streptococcus gordonii
RS_GCF_001589015.1	Streptococcus sanguinis
RS_GCF_001589035.1	Streptococcus gordonii
RS_GCF_001589055.1	Streptococcus gordonii
RS_GCF_001589095.1	Streptococcus gordonii
RS_GCF_001589115.1	Streptococcus cristatus
RS_GCF_001589135.1	Streptococcus gordonii
RS_GCF_001589275.1	Sorangium cellulosum
RS_GCF_001589285.1	Sorangium cellulosum
RS_GCF_001589295.1	Sorangium cellulosum
RS_GCF_001590605.1	Pedobacter cryoconitis
RS_GCF_001590685.1	Sporosarcina psychrophila
RS_GCF_001590725.1	Snodgrassella sp. CFCC 13594
RS_GCF_001590785.1	Bacillus trypoxylicola
RS_GCF_001590795.1	Bradyrhizobium sp. AT1
RS_GCF_001590825.1	Bacillus endophyticus
RS_GCF_001590835.1	Bacillus gaemokensis
RS_GCF_001590865.1	Streptomyces sp. NBRC 110611
RS_GCF_001590885.1	Serratia ficaria NBRC 102596
RS_GCF_001590905.1	Serratia grimesii NBRC 13537
RS_GCF_001590925.1	Serratia plymuthica NBRC 102599
RS_GCF_001590965.1	Novosphingobium lentum NBRC 107847
RS_GCF_001590985.1	Novosphingobium naphthalenivorans NBRC 102051
RS_GCF_001591005.1	Sphingomonas sanguinis NBRC 13937
RS_GCF_001591025.1	Sphingomonas soli NBRC 100801
RS_GCF_001591045.1	Sphingopyxis granuli NBRC 100800
RS_GCF_001591065.1	Vibrio vulnificus NBRC 15645 / ATCC 27562
RS_GCF_001591085.1	Vibrio natriegens NBRC 15636 / ATCC 14048 / DSM 759
RS_GCF_001591105.1	Vibrio nereis NBRC 15637
RS_GCF_001591125.1	Vibrio mediterranei NBRC 15635
RS_GCF_001591145.1	Vibrio harveyi NBRC 15634 / ATCC 14126
RS_GCF_001591165.1	Thauera butanivorans NBRC 103042
RS_GCF_001591185.1	Psychrobacter phenylpyruvicus DSM 7000 / NBRC 102152
RS_GCF_001591205.1	Stenotrophomonas maltophilia NBRC 14161
RS_GCF_001591225.1	Herbaspirillum rubrisubalbicans NBRC 102523
RS_GCF_001591245.1	Moraxella lacunata NBRC 102154
RS_GCF_001591265.1	Moraxella atlantae NBRC 14588
RS_GCF_001591285.1	Sphingobium cloacae NBRC 102517
RS_GCF_001591305.1	Sphingobium amiense NBRC 102518
RS_GCF_001591325.1	Shewanella putrefaciens JCM 20190 / NBRC 3908
RS_GCF_001591345.1	Variovorax boronicumulans NBRC 103145
RS_GCF_001591365.1	Variovorax paradoxus NBRC 15149
RS_GCF_001591385.1	Variovorax soli NBRC 106424
RS_GCF_001591405.1	Janibacter terrae NBRC 107853
RS_GCF_001591425.1	Bacillus cohnii NBRC 15565
RS_GCF_001591445.1	Bacillus drentensis NBRC 102427
RS_GCF_001591465.1	Bacillus firmus NBRC 15306
RS_GCF_001591485.1	Bacillus fumarioli NBRC 102428
RS_GCF_001591505.1	Bacillus niacini NBRC 15566
RS_GCF_001591525.1	Bacillus megaterium NBRC 15308 / ATCC 14581
RS_GCF_001591545.1	Bacillus lentus NBRC 16444
RS_GCF_001591565.1	Bacillus flexus NBRC 15715
RS_GCF_001591585.1	Bacillus circulans NBRC 13626
RS_GCF_001591605.1	Bacillus badius NBRC 15713
RS_GCF_001591625.1	Bacillus fastidiosus NBRC 101226
RS_GCF_001591645.1	Bacillus korlensis NBRC 107688
RS_GCF_001591665.1	Bacillus soli NBRC 102451
RS_GCF_001591685.1	Lactobacillus murinus DSM 20452 / NBRC 14221
RS_GCF_001591725.1	Lactococcus lactis subsp. hordniae NBRC 100931
RS_GCF_001591745.1	Lactococcus plantarum NBRC 100936
RS_GCF_001591765.1	Lactococcus raffinolactis NBRC 100932
RS_GCF_001591785.1	Bacillus simplex NBRC 15720
RS_GCF_001591805.1	Bacillus novalis NBRC 102450
RS_GCF_001591825.1	Bacillus vietnamensis NBRC 101237
RS_GCF_001591885.1	Lactobacillus parabuchneri DSM 5707 / NBRC 107865
RS_GCF_001591925.1	Bacillus atrophaeus NBRC 15539
RS_GCF_001591945.1	Bacillus krulwichiae NBRC 102362
RS_GCF_001591965.1	Lysinibacillus odysseyi 34hs-1 / NBRC 100172
RS_GCF_001591985.1	Bacillus smithii NBRC 15311
RS_GCF_001592005.1	Bacillus sonorensis NBRC 101234 / KCTC 13918
RS_GCF_001592045.1	Thermobifida fusca NBRC 14071 / JCM 3263
RS_GCF_001592065.1	Lactobacillus nodensis DSM 19682 / JCM 14932 / NBRC 107160
RS_GCF_001592085.1	Lactobacillus senmaizukei DSM 21775 / NBRC 103853
RS_GCF_001592105.1	Desulfotomaculum intricatum
RS_GCF_001592125.1	Microbacterium hominis NBRC 15708
RS_GCF_001592145.1	Xylanimicrobium pachnodae JCM 13526 / NBRC 107786
RS_GCF_001592165.1	Caldimonas taiwanensis NBRC 104434
RS_GCF_001592185.1	Bergeriella denitrificans NBRC 102155
RS_GCF_001592205.1	Brevundimonas vesicularis NBRC 12165
RS_GCF_001592225.1	Castellaniella caeni NBRC 101664
RS_GCF_001592245.1	Cupriavidus oxalaticus NBRC 13593
RS_GCF_001592265.1	Curvibacter delicatus NBRC 14919
RS_GCF_001592285.1	Hydrogenophaga pseudoflava NBRC 102511
RS_GCF_001592305.1	Hydrogenophaga taeniospiralis NBRC 102512
RS_GCF_001592325.1	Propionibacterium propionicum NBRC 14587
RS_GCF_001592345.1	Sphingomonas adhaesiva NBRC 15099
RS_GCF_001592365.1	Gordonia hydrophobica NBRC 16057
RS_GCF_001592685.1	Streptomyces sp. WAC04657
RS_GCF_001592735.1	Bdellovibrio bacteriovorus
RS_GCF_001592745.1	Bdellovibrio bacteriovorus
RS_GCF_001592755.1	Bdellovibrio bacteriovorus
RS_GCF_001592825.1	Planococcus maritimus
RS_GCF_001592845.1	Halobacillus sp. KGW1
RS_GCF_001592855.1	Acinetobacter sp. BMW17
RS_GCF_001592865.1	Bacillus sp. KCTC 13219
RS_GCF_001592875.1	Pseudomonas sp. BMS12
RS_GCF_001592935.1	Roseivirga echinicomitans
RS_GCF_001592945.1	Roseivirga ehrenbergii
RS_GCF_001592965.1	Roseivirga spongicola
RS_GCF_001593005.1	Roseivirga ehrenbergii
RS_GCF_001593045.1	Tetragenococcus halophilus
RS_GCF_001593085.1	Paenibacillus polymyxa
RS_GCF_001593245.1	Aeromonas veronii
RS_GCF_001593285.1	Psychrobacter sp. P2G3
RS_GCF_001593305.1	Psychrobacter sp. P11G5
RS_GCF_001593325.1	Bradyrhizobium sp. DOA1
RS_GCF_001593385.1	Chryseobacterium sp. GSE06
RS_GCF_001593535.1	Neorickettsia sp. 179522
RS_GCF_001593605.1	Algoriphagus sp. M8-2
RS_GCF_001593625.1	Staphylococcus saprophyticus
RS_GCF_001593785.1	Bacillus amyloliquefaciens UMAF6614
RS_GCF_001593985.1	Clostridium colicanis DSM 13634
RS_GCF_001594005.1	Clostridium tepidiprofundi DSM 19306
RS_GCF_001594015.1	Moorella mulderi DSM 14980
RS_GCF_001594165.1	Brucella suis 019
RS_GCF_001594225.1	Pseudomonas sp. MS586
RS_GCF_001594285.1	Prevotella intermedia
RS_GCF_001595485.1	Micrococcus sp. CH7
RS_GCF_001595645.1	Sulfurovum riftiae
RS_GCF_001595965.1	Polynucleobacter yangtzensis
RS_GCF_001595985.1	Polynucleobacter sinensis
RS_GCF_001595995.1	Bradyrhizobium liaoningense
RS_GCF_001596135.1	Mucilaginibacter sp. PAMC 26640
RS_GCF_001596155.1	Hymenobacter sp. PAMC 26554
RS_GCF_001596245.1	Aggregatibacter actinomycetemcomitans serotype e str. SA2876
RS_GCF_001596425.1	Aggregatibacter actinomycetemcomitans serotype e str. SA3096
RS_GCF_001596795.1	Pseudoalteromonas telluritireducens
RS_GCF_001596805.1	Halomonas sp. KX33721
RS_GCF_001597285.1	Pseudomonas alcaligenes
RS_GCF_001597465.1	Fusobacterium necrophorum subsp. funduliforme
RS_GCF_001597725.1	Neptuniibacter sp. ATR 1.1
RS_GCF_001597735.1	Neptuniibacter sp. LFT 1.8
RS_GCF_001597745.1	Anabaena sp. 4-3
RS_GCF_001597855.1	Anabaena sp. CA / ATCC 33047
RS_GCF_001597935.1	Vibrio cidicii
RS_GCF_001597955.1	Vibrio cidicii
RS_GCF_001598035.1	Streptococcus halotolerans
RS_GCF_001598055.1	Cupriavidus nantongensis
RS_GCF_001598075.1	Lysinibacillus sphaericus
RS_GCF_001598215.1	Bacillus clausii
RS_GCF_001598235.1	Polaromonas jejuensis NBRC 106434
RS_GCF_001598255.1	Mitsuaria chitosanitabida NBRC 102408
RS_GCF_001598275.1	Moraxella oblonga NBRC 102422
RS_GCF_001598295.1	Raoultella ornithinolytica NBRC 105727 / ATCC 31898
RS_GCF_001598315.1	Kluyvera intermedia NBRC 102594 / ATCC 33110
RS_GCF_001598335.1	Sphingobium abikonense NBRC 16140
RS_GCF_001598355.1	Sphingomonas asaccharolytica NBRC 15499
RS_GCF_001598375.1	Novosphingobium capsulatum NBRC 12533
RS_GCF_001598395.1	Sphingomonas koreensis NBRC 16723
RS_GCF_001598415.1	Sphingomonas mali NBRC 15500
RS_GCF_001598435.1	Sphingomonas pituitosa NBRC 102491
RS_GCF_001598455.1	Sphingomonas pruni NBRC 15498
RS_GCF_001598475.1	Pantoea agglomerans NBRC 102470
RS_GCF_001598495.1	Neokomagataea thailandica NBRC 106555
RS_GCF_001598535.1	Sphingobium herbicidovorans NBRC 16415
RS_GCF_001598555.1	Novosphingobium rosa NBRC 15208
RS_GCF_001598575.1	Novosphingobium subterraneum NBRC 16086
RS_GCF_001598595.1	Achromobacter xylosoxidans NBRC 15126 / ATCC 27061
RS_GCF_001598655.1	Bordetella bronchiseptica NBRC 13691
RS_GCF_001598675.1	Serratia rubidaea NBRC 103169
RS_GCF_001598795.1	Delftia acidovorans NBRC 14950
RS_GCF_001598815.1	Sphingopyxis terrae NBRC 15098
RS_GCF_001598835.1	Vibrio fluvialis NBRC 103150
RS_GCF_001598855.1	Pluralibacter gergoviae ATCC 33028 / NBRC 105706
RS_GCF_001598875.1	Shewanella algae JCM 21037 / NBRC 103173
RS_GCF_001598895.1	Morganella morganii subsp. morganii NBRC 3848
RS_GCF_001598915.1	Williamsia muralis NBRC 105860
RS_GCF_001598935.1	Geobacillus toebii NBRC 107807
RS_GCF_001598955.1	Janibacter terrae NBRC 107854 / JCM 12887
RS_GCF_001600975.1	Legionella pneumophila
RS_GCF_001601315.1	Tistrella mobilis
RS_GCF_001601375.1	Legionella pneumophila
RS_GCF_001601575.1	Thermovenabulum gondwanense
RS_GCF_001602095.1	Helicobacter himalayensis
RS_GCF_001602135.1	Pseudomonas chlororaphis
RS_GCF_001602235.1	Alcanivorax sp. NBRC 102024
RS_GCF_001602485.1	Acidibacillus ferrooxidans
RS_GCF_001602525.1	Flavobacterium chilense
RS_GCF_001602625.1	Sodalis-like endosymbiont of Proechinophthirus fluctus
RS_GCF_001602635.1	Rickettsia endosymbiont of Proechinophthirus fluctus
RS_GCF_001605015.1	Aminobacter aminovorans
RS_GCF_001605725.1	Mycobacterium immunogenum
RS_GCF_001605885.1	Acinetobacter lactucae
RS_GCF_001605895.1	Acinetobacter sp. ANC 4149
RS_GCF_001606005.1	Brevibacterium linens
RS_GCF_001606025.1	Psychrobacter alimentarius
RS_GCF_001606065.1	Thermoactinomyces sp. AS95
RS_GCF_001606235.1	Mycobacterium abscessus
RS_GCF_001608445.1	Francisella hispaniensis FSC454
RS_GCF_001610895.1	Planctomyces sp. SH-PL62
RS_GCF_001610975.1	Sphingopyxis terrae NBRC 15098
RS_GCF_001610995.1	Sphingopyxis macrogoltabida
RS_GCF_001611075.1	Pediococcus damnosus
RS_GCF_001611135.1	Pediococcus damnosus
RS_GCF_001611175.1	Bacillus sp. GZT
RS_GCF_001611275.1	Desulfuromonas sp. DDH964
RS_GCF_001611555.1	Anaerosporomusa subterranea
RS_GCF_001611675.1	Pontibacter akesuensis
RS_GCF_001611775.1	[Haemophilus] parasuis
RS_GCF_001611795.1	Streptomyces sp. S10
RS_GCF_001611855.1	Mycobacterium sp. QIA-37
RS_GCF_001611905.1	Arthrospira platensis YZ
RS_GCF_001611955.1	Staphylococcus haemolyticus
RS_GCF_001611975.1	Haematospirillum jordaniae
RS_GCF_001612535.1	Rhizobium leguminosarum
RS_GCF_001612555.1	Acinetobacter sp. TGL-Y2
RS_GCF_001612575.1	Streptobacillus notomytis
RS_GCF_001612615.1	Nocardia amikacinitolerans NBRC 108937
RS_GCF_001612635.1	Nocardia africana NBRC 100379
RS_GCF_001612665.1	Nocardia alba NBRC 108234
RS_GCF_001612685.1	Nocardia altamirensis NBRC 108246
RS_GCF_001612705.1	Pseudomonas fluorescens
RS_GCF_001612725.1	Nocardia anaemiae NBRC 100462
RS_GCF_001612745.1	Nocardia amamiensis NBRC 102102
RS_GCF_001612765.1	Nocardia arthritidis NBRC 100137
RS_GCF_001612785.1	Nocardia beijingensis NBRC 16342
RS_GCF_001612805.1	Nocardia coubleae NBRC 108252
RS_GCF_001612825.1	Nocardia caishijiensis NBRC 108228
RS_GCF_001612845.1	Nocardia elegans NBRC 108235
RS_GCF_001612865.1	Nocardia cummidelens NBRC 100378
RS_GCF_001612885.1	Nocardia harenae NBRC 108248
RS_GCF_001612905.1	Nocardia ignorata NBRC 108230
RS_GCF_001612925.1	Nocardia farcinica NBRC 15532
RS_GCF_001612945.1	Nocardia inohanensis NBRC 100128
RS_GCF_001612965.1	Nocardia kruczakiae NBRC 101016
RS_GCF_001612985.1	Nocardia gamkensis NBRC 108242
RS_GCF_001613005.1	Nocardia nova NBRC 15556
RS_GCF_001613025.1	Nocardia jinanensis NBRC 108249
RS_GCF_001613045.1	Nocardia lijiangensis NBRC 108240
RS_GCF_001613065.1	Nocardia miyunensis NBRC 108239
RS_GCF_001613085.1	Nocardia salmonicida NBRC 13393
RS_GCF_001613105.1	Nocardia pseudobrasiliensis NBRC 108224
RS_GCF_001613125.1	Nocardia shimofusensis NBRC 100134
RS_GCF_001613145.1	Nocardia jejuensis NBRC 103114
RS_GCF_001613165.1	Nocardia mexicana NBRC 108244
RS_GCF_001613185.1	Nocardia puris NBRC 108233
RS_GCF_001613205.1	Nocardia sienata NBRC 100364
RS_GCF_001613225.1	Nocardia pseudovaccinii NBRC 100343
RS_GCF_001613245.1	Nocardia speluncae NBRC 108251
RS_GCF_001613265.1	Nocardia vermiculata NBRC 100427
RS_GCF_001613285.1	Nocardia soli NBRC 100376
RS_GCF_001613305.1	Nocardia vaccinii NBRC 15922
RS_GCF_001613325.1	Nocardia yamanashiensis NBRC 100130
RS_GCF_001613345.1	Nocardia uniformis NBRC 13702
RS_GCF_001613365.1	Nocardia xishanensis NBRC 101358
RS_GCF_001613385.1	Nocardia flavorosea NBRC 108225
RS_GCF_001613405.1	Nocardia crassostreae
RS_GCF_001613425.1	Nocardia vulneris
RS_GCF_001613445.1	Nocardia grenadensis NBRC 108939
RS_GCF_001613465.1	Nocardia niwae NBRC 108934 / DSM 45340
RS_GCF_001613505.1	Nocardia mikamii NBRC 108933
RS_GCF_001613525.1	Nocardia violaceofusca NBRC 14427
RS_GCF_001613775.1	Brachybacterium sp. sponge
RS_GCF_001613785.1	Thalassospira sp. MCCC 1A02491
RS_GCF_001613795.1	Thalassospira sp. MCCC 1A01148
RS_GCF_001613805.1	Thalassospira lucentensis
RS_GCF_001613855.1	Thalassospira xiamenensis
RS_GCF_001613935.1	Amycolatopsis regifaucium
RS_GCF_001614195.1	Bacillus sp. VT 712
RS_GCF_001617355.1	Rhodanobacter thiooxydans
RS_GCF_001617365.1	Rhodanobacter sp. FW104-R8
RS_GCF_001617375.1	Rhodanobacter sp. FW510-T8
RS_GCF_001617435.1	Rhodanobacter sp. FW510-R10
RS_GCF_001617605.1	Rummeliibacillus stabekisii
RS_GCF_001617625.1	Microbulbifer thermotolerans
RS_GCF_001618005.1	Clavibacter michiganensis subsp. tessellarius
RS_GCF_001618015.1	Neisseria flavescens
RS_GCF_001618075.1	Neisseria flavescens
RS_GCF_001618145.1	Oceanobacillus damuensis
RS_GCF_001618175.1	Oceanibaculum pacificum
RS_GCF_001618185.1	Thalassospira sp. MCCC 1A02898
RS_GCF_001618195.1	Thalassospira xiamenensis
RS_GCF_001618245.1	Sphingobium yanoikuyae
RS_GCF_001618265.1	Waddlia chondrophila WSU 86-1044
RS_GCF_001618385.1	Paludibacter jiangxiensis
RS_GCF_001618405.1	Nocardia arizonensis
RS_GCF_001618425.1	Nocardia fusca NBRC 14340
RS_GCF_001618545.2	Elizabethkingia anophelis
RS_GCF_001618685.1	Geobacillus subterraneus
RS_GCF_001618845.1	Mesorhizobium ciceri biovar biserrulae
RS_GCF_001618885.1	Staphylococcus condimenti
RS_GCF_001618905.1	Lactobacillus reuteri
RS_GCF_001618955.1	Tardiphaga sp. Vaf07
RS_GCF_001619335.1	Bacillus cereus
RS_GCF_001619355.1	Bacillus cereus
RS_GCF_001619425.1	Bacillus cereus
RS_GCF_001619585.1	Bhargavaea cecembensis
RS_GCF_001619595.1	Bacillus aryabhattai
RS_GCF_001619605.1	Brevibacillus parabrevis
RS_GCF_001619615.1	Microbacterium sp. T32
RS_GCF_001619665.1	Chelatococcus daeguensis
RS_GCF_001619685.1	Brevibacterium casei
RS_GCF_001619695.1	Crenobacter luteus
RS_GCF_001619725.1	Paenibacillus elgii
RS_GCF_001619755.1	Paenibacillus jamilae
RS_GCF_001619815.1	Myroides marinus
RS_GCF_001619875.1	Fictibacillus phosphorivorans
RS_GCF_001619895.1	Micrococcus aloeverae
RS_GCF_001619955.1	Sphingomonas hankookensis
RS_GCF_001620025.1	Rhodococcus sp. PBTS1
RS_GCF_001620055.1	Agromyces sp. NDB4Y10
RS_GCF_001620065.1	Microbacterium sp. TNHR37B
RS_GCF_001620265.1	Defluviimonas alba
RS_GCF_001620305.1	Rhodococcus fascians D188
RS_GCF_001620365.1	Amycolatopsis keratiniphila subsp. keratiniphila
RS_GCF_001623075.1	Pseudovibrio sp. Ad37
RS_GCF_001623085.1	Pseudovibrio sp. W74
RS_GCF_001623165.1	Pseudovibrio sp. WM33
RS_GCF_001623225.1	Pseudovibrio sp. Ad13
RS_GCF_001623255.1	Pseudovibrio axinellae
RS_GCF_001623285.1	Pseudovibrio sp. Ad26
RS_GCF_001623405.1	Hydrotalea flava
RS_GCF_001623435.1	Rhodococcus qingshengii
RS_GCF_001623485.1	Nodularia spumigena CENA596
RS_GCF_001623525.1	Pseudomonas fluorescens
RS_GCF_001623565.1	Streptococcus marmotae
RS_GCF_001623865.1	Propionibacterium avidum
RS_GCF_001623875.1	Clostridium magnum DSM 2767
RS_GCF_001623895.1	Tsukamurella tyrosinosolvens
RS_GCF_001624335.1	Oerskovia enterophila
RS_GCF_001624605.1	Geobacillus sp. 8
RS_GCF_001624615.1	Geobacillus sp. 15
RS_GCF_001624695.1	Labrenzia sp. OB1
RS_GCF_001624705.1	Marinomonas sp. SBI8L
RS_GCF_001625015.1	Lewinella sp. 4G2
RS_GCF_001625085.1	Nocardia acidivorans NBRC 108247
RS_GCF_001625105.1	Nocardia terpenica
RS_GCF_001625325.1	Altererythrobacter sp. MH-B5
RS_GCF_001625355.1	Marinomonas sp. TW1
RS_GCF_001625365.1	Streptomyces sp. MJM8645
RS_GCF_001625595.1	Pseudoalteromonas luteoviolacea NCIMB 1942
RS_GCF_001625655.1	Pseudoalteromonas luteoviolacea DSM 6061
RS_GCF_001625685.1	Pseudoalteromonas luteoviolacea CPMOR-1
RS_GCF_001625695.1	Pseudoalteromonas luteoviolacea H33-S
RS_GCF_001625705.1	Pseudoalteromonas luteoviolacea S4060-1
RS_GCF_001628715.1	Acetobacter sp. SLV-7
RS_GCF_001628775.1	Ralstonia mannitolilytica
RS_GCF_001628815.1	Geobacter anodireducens
RS_GCF_001629705.1	Fictibacillus phosphorivorans
RS_GCF_001629735.1	Lysinibacillus sphaericus
RS_GCF_001629795.1	Aeribacillus pallidus
RS_GCF_001630115.1	Bacillus encimensis
RS_GCF_001630745.1	Staphylococcus succinus
RS_GCF_001630765.1	Dietzia maris
RS_GCF_001631105.1	Enterobacter cloacae complex sp. GN04826
RS_GCF_001631805.1	Enterobacter cloacae complex sp. GN06232
RS_GCF_001631935.1	Synechococcus sp. MIT S9509
RS_GCF_001631965.1	Prochlorococcus sp. MIT 1303
RS_GCF_001631985.1	Prochlorococcus sp. MIT 1306
RS_GCF_001632005.1	Prochlorococcus marinus str. MIT 1312
RS_GCF_001632025.1	Prochlorococcus marinus str. MIT 1323
RS_GCF_001632045.1	Prochlorococcus marinus str. MIT 1318
RS_GCF_001632075.1	Prochlorococcus marinus str. MIT 1320
RS_GCF_001632105.1	Synechococcus sp. MIT S9504
RS_GCF_001632145.1	Prochlorococcus marinus str. MIT 1342
